"reconstr_V1" "reconstr_V2" "reconstr_V3" "reconstr_V4" "reconstr_V5" "reconstr_V6"
0.121706619649747 0.411865365010836 0.717187332022572 0.291858351093026 0.342763947348742 0.423770481417
0.180839224987686 0.338080271677014 0.684793840578645 0.346048233192616 0.34551038840512 0.466512690316127
0.262143639156428 0.616876096027432 0.773383746463472 0.174304159167548 0.268062545228802 0.441492291660555
0.250994647347234 0.737261219979626 0.630374398699367 0.113681108158358 0.292705705709241 0.348274986743523
0.172662364468917 0.45230993340763 0.710026093231018 0.25074328900277 0.368093410946791 0.375647711542614
0.182937423529953 0.502269788379645 0.824917972312587 0.314054774047864 0.352142360106926 0.41780042160353
0.0792147866311337 0.775366748883287 0.630416449567094 0.231425311489195 0.22982975549207 0.388389817825035
0.100030307270764 0.603550697095007 0.787319943458373 0.203823788218446 0.196439460495995 0.506010043179077
0.0896393369187608 0.446625703071342 0.729383083874154 0.361109700275392 0.35968695920014 0.437837676942918
0.143487897100177 0.433716210606129 0.808590456831111 0.292121316384777 0.268236545746015 0.497043163622208
0.707952392979116 0.597061585135506 0.810919367281951 0.0911882397923917 0.363875326263201 0.317375041243115
0.644529261660497 0.821257075194208 0.556812638888273 0.103877194356889 0.402275973541939 0.25962258347321
0.340583268959503 0.740320774671063 0.711549848160838 0.346957662570077 0.291464974877312 0.434402906967348
0.380478938636987 0.728653320272645 0.790698716388943 0.283900204796615 0.324198880261035 0.392942293476412
0.319034191161564 0.680742862650094 0.875677401866786 0.293005361022 0.308374798997081 0.441640713482923
0.228359430087162 0.582289099488904 0.837860007436871 0.3382765049032 0.284244108575006 0.499811847395546
0.456025126167367 0.665789059330908 0.849102233310196 0.455898078772827 0.285422241543282 0.530019196534194
0.288659476625773 0.532386357783414 0.836618676529998 0.374044736155109 0.347610107275428 0.458271693132608
0.282459513547777 0.5593805634219 0.89672235793295 0.402273243236702 0.299891892242747 0.523792128609766
0.319886445873963 0.63173887738078 0.894997285792861 0.407691655279248 0.281757911912812 0.529492678841488
0.354128505589468 0.59719493445486 0.905499557238656 0.327060349048683 0.249489839388782 0.557147591437939
0.251684192706721 0.62564769025714 0.784752050687734 0.470331054737205 0.24592187040451 0.564362273641019
0.359782472484296 0.705327971859773 0.813717309640978 0.512548498768489 0.294295682702705 0.494174081706519
0.3961603186143 0.680523985041837 0.869227677465814 0.472798044247918 0.316264255281192 0.485989595668949
0.517020782165156 0.504353653985914 0.706298669984675 0.499637580337653 0.397338992484341 0.500554020081455
0.506190802504581 0.82244177802762 0.589838102921576 0.43135643638674 0.244254057504513 0.4793145811507
0.353251480481063 0.685301702490801 0.89186007700281 0.37127610516767 0.23117862770816 0.555168217994225
0.370071925174824 0.622711035756592 0.910602227227241 0.487109952688749 0.264522771442156 0.577570397220303
0.521166458283605 0.461845764755584 0.768975107537509 0.704619591225347 0.402341838516799 0.57591951834941
0.560615501140784 0.449032697257613 0.73798798294782 0.602703812881291 0.430409719127908 0.516350062930781
0.416700415357235 -0.0301993122118065 0.333075859718459 0.907168521756726 0.495463107603504 0.890089927377244
0.305082088489052 -0.0613314339778148 0.399645356081627 0.874219458856812 0.531632161969815 0.843919851048962
0.22030489603402 0.597418592548682 0.796671107243223 0.368037517608952 0.254037921889259 0.532663201155972
0.157345040383048 0.543218732429076 0.799247531639731 0.571089861036268 0.263050754510273 0.598233326864328
0.502563939571077 0.474124301319004 0.8724031627957 0.356341921439325 0.398382523482459 0.397258868351046
0.416197121498125 0.688234149436123 0.795791834017722 0.286125484909913 0.334440794912336 0.408241828113089
0.523001327301983 0.66714759675581 0.760949418081633 0.315512741910517 0.236871216396227 0.541114565852995
0.580901403884842 0.750976174637038 0.582826924091208 0.345922961439213 0.250362088004647 0.527823060448
0.657117358933452 0.87202955391604 0.464032976369446 0.0705528778241995 0.286917435348101 0.350248345579362
0.606403185361656 0.49094477813702 0.63584899116478 0.31565124520947 0.279247759610394 0.544343056132632
0.431474027621896 0.626347132392402 0.70032098171713 0.251692188599249 0.278221024060846 0.483493569078421
0.338746161828171 0.555126085714281 0.734010064834882 0.42804127528681 0.319648810396633 0.517439653596571
0.29517648823248 0.595996332507657 0.802705495125143 0.214961888646795 0.184945112857462 0.551451004331418
0.508119082720798 0.415195850325352 0.470717323349702 0.307349471436553 0.701574796860877 0.11106903562511
0.482312162836388 0.623632374266187 0.720866921658812 0.233930233733735 0.451077575660436 0.274758215009983
0.748905309392933 0.905949613368151 0.243407514804394 0.252457586939728 0.507243359469361 0.246870589634181
0.22593239194311 0.593613225729698 0.802128217229127 0.26706131773017 0.251003353521756 0.501008787884522
0.312848433786859 0.71789730242465 0.804276175982814 0.232834499424894 0.264657278567254 0.443155931124289
0.722063504429713 0.544127057105336 0.516026293179946 0.148625841887411 0.42626071864484 0.357786330258397
0.36836440470321 0.602575140743742 0.805476651599876 0.261105404794656 0.26581137624692 0.498361623351842
0.503707410436087 0.589609412522466 0.639292753759715 0.478271736321349 0.556657358800987 0.284288593931255
0.84988545141996 0.843558197052775 0.146654023485446 0.338327036163919 0.777621300223546 0.115878881462219
0.698703615543568 0.66443785589475 0.481821067717141 0.355225479032568 0.623102754743421 0.23012762364392
0.659788300819659 0.321296252341781 0.682518548413037 0.310136757344907 0.436498369051126 0.370360269846375
0.671823320545202 0.732276385275072 0.411710095702421 0.337773386492754 0.690753145875151 0.112496660818431
0.568273520629483 0.641150117056227 0.522352987609622 0.297786817199463 0.574143089213666 0.227650756491174
0.73063928297697 0.565232115524285 0.585177691610787 0.253207744655058 0.513083157268827 0.293591575666512
0.435140592596514 0.473052506255645 0.787476853602435 0.48466912583867 0.510768323267426 0.318257845741621
0.560261120780219 0.475338639487058 0.783425658189479 0.330559697719163 0.39555629710569 0.404062420428462
0.496400354952185 0.716325207788871 0.711649720588571 0.310127790066462 0.312751619263809 0.441722084361116
