"DF.L4.C1" "DF.L4.C2" "DF.L4.C3" "DF.L4.C4" "DF.L4.C5" "DF.L4.C6"
-0.257242422387632 0.0773456983381594 -0.559304433895384 -0.270434172883937 0.842861204694684 0.29683808924527
-0.23276097036367 0.211644011993264 -0.626951073455501 -0.226018639434158 0.788065552138114 0.322017355668087
-0.12404506753172 -0.31311543658007 -0.47270268185397 -0.0528116521726238 0.846509366796573 0.421360105945065
-0.17174136651834 -0.429316803741577 -0.247354574012398 -0.333815511048457 0.834092321407395 0.655849701674435
-0.224482270505954 0.0574392735722047 -0.47210408283034 -0.212544129893314 0.863403200517118 0.366601248794767
-0.050596025020311 -0.0528881738253089 -0.530947411938627 -0.16539826986525 0.871312504138585 0.17309724954205
-0.152207865399774 -0.593748966586265 -0.347236196191262 -0.779100496216144 0.818194035105769 0.530151746078891
-0.261270151191445 -0.436659591181248 -0.604055751075238 -0.233242988543139 0.835668831466928 0.275799476460054
-0.182329599073048 0.0675423050895047 -0.563099086509434 -0.423941631083098 0.829516971533144 0.260222640380004
-0.209397863126998 -0.0685128586880941 -0.67358213043586 -0.10355309717528 0.826102664247589 0.139090802037003
0.252402895358813 -0.0259752474965689 -0.213181592182422 0.735011493281973 0.843985804180871 0.480868938871838
0.158494674233295 -0.283387174384198 0.0589313401406955 0.0111059307941154 0.713270587507617 0.806921802304091
0.195088943392988 -0.329023129505807 -0.402972934021811 -0.386886343634203 0.755357558359035 0.527039182875813
0.22167189331473 -0.347465046411808 -0.33486502368462 -0.150632242884782 0.828696367024776 0.459207673145218
0.213122114283462 -0.409430154056493 -0.44796383504467 -0.0355419131983086 0.869175771956004 0.210446485999072
0.049180969454702 -0.223373705776722 -0.60812100480926 -0.158811972843073 0.821555965017848 0.202223681138999
0.426059424803134 -0.220017838359677 -0.567456788938669 -0.0229772731635958 0.701947190826518 0.239215416509113
0.125054177477504 -0.0389563045547681 -0.565384415473936 -0.0944985571612167 0.8314382706119 0.203993995507344
0.201050591395814 -0.19205543156664 -0.667370601197111 -0.0149690458619218 0.815866407129438 -0.0266134538361362
0.292472862189759 -0.319676412804822 -0.631011324816221 -0.0499795919795978 0.803343450124996 0.0419715088112737
0.192194879603348 -0.364152434598876 -0.670033162920145 0.213627214965833 0.797065471497649 0.0287313608401777
0.148079287433274 -0.20702865492874 -0.663376774904588 -0.406971768845159 0.680631983598361 0.235111273356953
0.416253581511647 -0.265797646649759 -0.537668271475155 -0.39512631834018 0.720486049732383 0.241975534833174
0.456634543399327 -0.256472504428086 -0.5302982061825 -0.148291565249876 0.776005937376171 0.155607809277681
0.310395676634622 0.24558548575851 -0.5439042133612 -0.042278201325888 0.639938455302912 0.446633871213143
0.368072674036783 -0.375823788308471 -0.353921154060025 -0.477754519236181 0.523630881854841 0.625472184885121
0.291866612299169 -0.507856796948727 -0.616472575134262 -0.0105890206073116 0.76889659945132 0.10866661842376
0.410203802343878 -0.286169588820285 -0.709122466717823 0.00638691733960772 0.729720119151911 -0.104018888769805
0.561276711059907 0.335608358295437 -0.648624133598123 -0.192842819482924 0.512272459929362 0.145244804528678
0.464741748680811 0.374459711237446 -0.574496252623198 -0.0213514662177798 0.59422124578924 0.330083705172701
0.11238761932905 0.804742164110205 -0.830467903335027 -0.588325864043123 -0.48898191802291 0.0697350782757493
-0.00168065206206958 0.801568653757168 -0.78958194509851 -0.700581743715123 -0.170245465447586 0.114531856753922
0.0265127984221555 -0.227885996047625 -0.636375290004164 -0.270834849310111 0.761310131280376 0.265963862638676
0.096429398553916 -0.0713155366824252 -0.742667753527138 -0.582660543976877 0.628438022179446 0.0150014145413556
0.326592853482083 0.146943160058706 -0.499233967235688 0.357292673846893 0.849235706916482 0.151734805517522
0.221318311524196 -0.246582763780228 -0.370656855002311 -0.0386463215877686 0.819326873266673 0.454822001188984
0.214215715565908 -0.24423968292847 -0.534301602342794 0.127323729360375 0.644819174734142 0.487255040365262
0.227944535729008 -0.22400712317539 -0.415151486784194 -0.11079992833839 0.505909128952965 0.668690697317624
0.085858773410691 -0.520732568097799 0.0238442724611623 -0.100467934492291 0.550212231723201 0.840106251982004
0.0836220931873567 0.177062788337032 -0.620702122933566 0.305209310005399 0.572814712231226 0.573905756455481
0.0304336872348033 -0.159376217260232 -0.488402439197582 0.0043107207850499 0.725996086982018 0.563461737516735
0.12046664843599 0.00565515425028951 -0.589860238679057 -0.223703091033051 0.703545493998043 0.387660948329638
-0.128413804653347 -0.390822585430272 -0.641799668839714 0.0676790116563225 0.770203893997583 0.345676826225422
-0.00845816127349175 0.617639268803294 0.0468658860825298 -0.183973089291628 0.842987597635088 0.743035649621053
0.143391719770871 0.0324053369299965 -0.199809719563309 0.039155995558488 0.871818816028737 0.572087152899328
0.294731195338342 -0.209045991615188 0.278393223467725 -0.366634389966366 0.40285222821275 0.906117378291917
-0.0632241680937129 -0.285098112981344 -0.589628096810894 -0.126823627266274 0.815809492200415 0.313414732161758
0.0919685170183575 -0.477750035176326 -0.418620170512272 -0.1416485455349 0.83041814892451 0.421177787782314
0.0636851292729339 0.308948268396088 -0.282560404466514 0.414556468760805 0.656502637248375 0.768394810581044
0.0535320776718802 -0.236026399738487 -0.554562897750121 0.0689542234149847 0.78725890272163 0.382984981525101
0.346627165793093 0.314595089396529 -0.197765534200128 -0.263327031828169 0.772579424295995 0.594679900797472
0.386250029040448 0.356081917804177 0.566098076696605 -0.134984364980701 0.411233003351043 0.928666512554293
0.313393964189344 0.368181202689848 0.0213201979683679 -0.0140261742380536 0.678274707142555 0.795241348723311
0.157198665969926 0.536777181504692 -0.480402768120331 0.484291696615308 0.715561743849901 0.489480095635421
0.274713644190691 0.331469324895702 0.249703516177527 -0.213210782226869 0.727043761820293 0.85163364360403
0.16048549047264 0.256607842684139 -0.0515627179961995 -0.129883939153392 0.770420333617036 0.773677740969831
0.26431788550598 0.364717210617886 -0.174939705076113 0.349713803463022 0.720578771653012 0.732982216111237
0.329656039858635 0.323256964394832 -0.353639126525451 -0.117929059744074 0.844380339637153 0.308119020299451
0.253757673215282 0.216937970861478 -0.475785606757584 0.309914741336935 0.790403346005097 0.415708982044892
0.245630107173047 -0.214685290859077 -0.371942871670964 -0.0709575940366369 0.712433405627666 0.584935053219707
0.0633106629337716 0.0860733822307163 0.0104666163276087 -0.449307831054131 0.472949314293077 0.889617199204416
0.212750386170511 0.292534873166846 -0.107133794478294 -0.592850902808247 0.62493686811428 0.762690825472365
0.164098948991746 0.408214361433369 -0.419614320059025 -0.299794431594015 0.387530997937793 0.761532446558016
-0.00016370521154041 0.226708159683188 0.141280438186578 -0.00588145657528094 -0.0345827225428634 0.952619442721382
-0.0977261600909562 0.0552739964082306 -0.40375194016813 -0.148824124784463 0.81937071716382 0.581336705269378
0.0215741191704167 0.105388232621152 -0.329523250848911 -0.0193165213099136 0.736710788896998 0.688218588373635
-0.0719440757386132 0.525039605079335 -0.633013172684548 0.311375169418435 0.614882502042342 0.514930802358754
-0.284274901189974 -0.116799609409552 -0.621642156043053 -0.363548946616143 0.80413804965958 0.388239564361094
0.0659459316050519 0.407732550358473 -0.570308027735863 -0.26859235904131 0.591811281309797 0.529097554292694
-0.0853694771038096 0.00306200798640366 -0.547652000084162 0.157638802717602 0.769185903628811 0.501643781749432
0.145085965641909 0.0964956212458674 -0.384838973726075 -0.141248786828082 0.819946161636768 0.505988540914496
0.116954543703597 -0.0902824431312363 -0.526324484972142 0.0596638717850915 0.818111016948522 0.325039667407574
0.20014397615986 0.121992962695779 -0.41931140113574 0.253452953366659 0.757933726229767 0.546143742244123
-0.0153658082345567 0.410334552163168 -0.586005430964157 0.705466136859336 0.426431668673848 0.695689080357606
0.034986188068882 0.525265464326112 -0.383245895219644 0.314296782804387 0.621451483661871 0.727036429584676
0.236337032703442 0.517544445839476 -0.379356879115334 0.335869365187225 0.443394159961476 0.757818929248048
0.147022456732052 0.206646970949865 -0.650851759946217 0.146971733917878 0.585059695969304 0.444099748093117
-0.0382736588270181 0.00403543292915209 -0.75115644115479 -0.338892212761214 0.526580492895849 0.303724107244533
0.161041560201879 0.23902721015934 -0.649001133213456 -0.205285930745697 0.520233798144647 0.466723502191778
-0.0191351027769775 0.236913304260613 -0.589314159327363 -0.610450037436185 0.835362962870765 -0.10060796728497
0.261792752015934 -0.059593732118334 -0.49715620866189 -0.196707670353916 0.843068470639601 0.192649301088031
0.145591203810187 -0.550012466195373 -0.35949872239939 -0.22623526845274 0.726932727771079 0.562758417946607
0.045734274307328 -0.243964164579892 -0.555289380119986 -0.279852851738384 0.703402705192636 0.484533641153185
0.115193968016926 0.166587195433625 -0.499471582991933 -0.772605952582919 0.529493835434616 0.531361140010914
0.142045524189357 0.0433688730450702 -0.287662334607508 -0.0414222200026573 0.719363673225276 0.685952067404751
0.331945063090009 0.105266657105668 -0.126952050072781 0.0288042360855361 0.736698794317032 0.700141220874206
0.23540910189483 0.0220314857852776 -0.325153091693735 -0.466551245674585 0.76140180115086 0.562290708641072
0.192865319082184 -0.140678492913249 -0.52719753926097 -0.318566439155505 0.730229361724289 0.43475591744259
